"Custom Cart Information","客製訊息"
"PAYMENT_CENTER_ILLEGAL_TOKEN","Oops...付款失敗- 您的身分狀態異常，請重新登入與付款"
"PAYMENT_CENTER_TOKEN_EXPIRED","Oops...付款失敗- 您的身分狀態異常，請重新登入與付款"
"PAYMENT_CENTER_NO_PERMISSION","Oops...付款失敗- 您的身分狀態異常，請重新登入與付款"
"PAYMENT_CENTER_TOKEN_NOT_FOUND","Oops...付款失敗- 近期有其他會員跟您重複綁卡，以致此卡片在您的帳號中失效，再請重新設定付款預設卡片。"
"PAYMENT_CENTER_MERCHANT_NOT_FOUND","Hmm..系統異常- 看來我們遇到了一些暫時性問題，請重新嘗試"
"PAYMENT_CENTER_MEMBER_NOT_FOUND","Hmm..系統異常- 看來我們遇到了一些暫時性問題，請重新嘗試"
"PAYMENT_CENTER_PARAMETER_NOT_FOUND","Hmm..系統異常- 看來我們遇到了一些暫時性問題，請重新嘗試"
"PAYMENT_CENTER_SERVER_ERROR","Hmm…支付異常- 看來我們遇上了支付系統的異常狀況，請聯繫客服人員協助下一步。"
"PAYMENT_CENTER_REMAIN_LAST_CARD","刪除信用卡失敗，目前無法刪除最後一張信用卡或請您聯繫客服人員協助下一步。"
"PAYMENT_CENTER_WALLET_PASSWORD_INCORRECT","Oops...付款失敗- 您輸入的交易驗證碼錯誤或超過時間，請重新付款"
"PAYMENT_CENTER_WALLET_PASSWORD_NOT_FOUND","Oops...付款失敗- 為確保您的帳號安全，請立即設定支付密碼。"
"PAYMENT_CENTER_SMS_SEND_FAILED","Oops...付款失敗- 您輸入的交易驗證碼錯誤或超過時間，請重新付款"
"PAYMENT_CENTER_WALLET_VERIFY_CODE_INCORRECT","Oops...付款失敗- 您輸入的交易驗證碼錯誤或超過時間，請重新付款"
"PAYMENT_CENTER_WALLET_ACCESS_CODE_INCORRECT","Oops...付款失敗- 您輸入的交易驗證碼錯誤或超過時間，請重新付款"
"PAYMENT_CENTER_WALLET_ACCESS_CODE_EXPIRED","Oops...付款失敗- 您輸入的交易驗證碼錯誤或超過時間，請重新付款"
"Success","成功"
"Close","關閉"
"CREDITCARD_PAYMENT_CENTER_ILLEGAL_TOKEN","您的身分狀態異常，請重新登入與設定"
"CREDITCARD_SUCCESS","信用卡設定成功"
"CREDITCARD_PAYMENT_CENTER_SERVER_ERROR","系統錯誤(無回應)"
"CREDITCARD_PAYMENT_CENTER_NO_PERMISSION","此帳戶無權限訪問"
"CREDITCARD_GoBack","返回成功"
"CREDITCARD_PAYMENT_CENTER_PARAMETER_NOT_FOUND","查無請求參數"
"credit_card_list","信用卡列表"
"Alias Name: ","信用卡別名: "
"Edit Alias Name", "編輯信用卡別名"
"Confirm Edit Credit Card","確認編輯信用卡"
"Setup Default Credit Card","設為主卡"
"Delete Credit Card", "刪除信用卡"
"Setup Credit Card", "一般綁訂信用卡"
"Setup Credit Card Fast","快速綁訂信用卡"
"ID","身分證字號"
"BIRTHDAY","出生年月日"
"Hotai Pay Payment Setting","信用卡設定"
"Update Order Status to #%1.","訂單狀態變更為 #%1."
"No Credit Card", "尚未綁訂和泰Pay"
"Setup HotaiPay Payment Credit Card","前往綁訂"
"Main Card","主卡"
"Sub Card","次要卡"
"Please Relogin And Repay.","請重新登入並重新付款"
%1 or if there is an issue with the payment method you have selected.,%1 或您選擇的支付方式遇到其他問題。
"There is no Customer Token. Please Sign in Again.","請重新登入"
"PAYMENT_CENTER_DATA_TYPE_ERROR","Hmm..系統異常- 看來我們遇到了一些暫時性問題，請重新嘗試"
