"Order Date","訂單日期"
"Parent-Order Number","母訂單編號"
"Sub-Order Number","子訂單編號"
"Invoice Status","發票狀態"
"Invoice Number","發票號碼"
"Order Status","訂單狀態"
"Name","姓名"
"Phone","手機號碼"
"Product Type","商品類型",
"Special Dealer Name","特約商名稱"
"Special Dealer Code","特約商代碼"
"Shipping Method","物流方式"
"Tracking Number","物流單號"
"Logistics Company Name","物流單位"
"Address","宅配送地址"
"Pick Up Store Name","超取配送門市"
"Product Id","商品流水號"
"Product Name","商品名稱"
"Sku","商品ID"
"Option Title","規格標題"
"Option Name","規格名稱"
"Special Price","商品售價"
"Cost","商品約定成本"
"Discounts","活動折扣"
"Invoice Tax Amount","發票含稅金額"
"Qty","件數"
"Used Point","總折抵點數"
"Total Amount (Credit Card)","總刷卡金額"
"Ticket Status","票券狀態"
"Order Cancellation Time Status",""
"Order Cancellation Time","取消訂單時間"
"Reason For Cancellation","取消原因"
"Apply For Return Review Results","申請退貨審核結果"
"Agree On Return Time","同意退貨時間"
"Return Result","退貨結果"
"Confirm Return Result Time","確認退貨結果時間"
"Distribution Thermosphere","溫層"
"(All sites) Free shipping threshold","(全站)免運門檻"
"(All sites) Shipping Fee","(全站)免運門檻"
"Order Free Shipping Threshold","訂單免運門檻"
"Order Shipping Fee","訂單運費"
"Scheduled Changes of Special Price","變價前金額"
"Scheduled Changes of Special Price (Start Date)","變價期間(起)"
"Scheduled Changes of Special Price (End date)","變價期間(迄)"
"Cart Price Rule Name","活動名稱"
"HIFI (Fixd)","HIFI拋帳會科設定"
"Not Issue Yet","未開立"
"Already Issued","發票開立"
"Void Invoice","發票作廢"
"Discount (Not Uploaded)","折讓(不上傳)",
"Allowance Invoice","發票折讓"
"No need to Issue","不開發票"
"Failed To Issue","開立失敗"
"Specification","規格",
"Order Return Time",""
"Apply For Return Results","申請退貨審核結果."
"All Site Free Shipping Threshold","(全站)免運門檻"
"All Site Free Shipping","(全站)設定運費"
"All Site Fee Shipping","(全站)設定運費"
"Order free shipping threshold","訂單免運門檻"
"Order Free Shipping","訂單免運門檻"
"Scheduled Changes Of Special Price","變價前金額"
"Scheduled Changes Of Special Price Start Date","變價期間(起)"
"Scheduled Changes Of Special Price End Date","變價期間(迄)"
"Return Approval Time","同意退貨時間"
"Return Result Confirmation Time","確認退貨結果時間"
"Order Fee Shipping","訂單運費"
"Order Checkout Serial Number Modification Date","訂單結帳序號異動日"
"Scheduled Return Time","Scheduled Return Time"
"Column","翻譯"
"Apply for return time","申請退貨時間",
"complete","已完成"
"tallying","理貨中"
"canceled","已取消"
"shipped","已出貨"
"Agree","通過"
"Disagree","不通過"
"Original Selling Price","原始售價"
"pending_payment","待付款"
"rma_processing","退換貨處理中"
"rma_completed","退換貨已完成"
"TransSN","點數中心_特約商交易序號"
"Item Status","商品狀態"
"Special Price","廠商售價"
"Is Reverse","是否退貨"
"Catalog Discount","活動折扣"
"Catalog Price","活動售價"
"Cart Price Discount","購物車折扣"
"Catalog Rule Name","活動折扣名稱"
"Cart Price Rule Name","購物車折扣名稱"
"Flow Status","商品狀態"
"Hotai Row Total (P+$)","行小計 (P+$)"
"Hotai Row Total","行小計"
"Catalog Price Discount","活動折扣"
"Catalog Price Rule Name","活動折扣名稱"
"Quote Id","報價編號"
"Commission","抽成%",
"Store Name","特約商名稱",
"Seller Code","特約商代碼",
"Seller Name","特約商名稱",
"Agreed service fee","約定服務費",
"Net Sales","特約商專櫃銷售淨額",
"Purchase Cost","採購成本",
"Sales Representatives","負責館長"
"Seller Company Name","特約商名稱"
"Hotai Checkout Number","訂單結帳序號"
"Net Total","付款總額"
"Report Product Price","售價"
"Report Product Qty","件數"
"Marketing Fee","行銷負擔(特約商)"
"Logistic Support Fee","運費補貼"
"Number Of Items","件數",
"Selling Price","售價"
"Transaction Price","成交價"
"Sub Order Number","子訂單編號"
"Commission Rate","抽成%"
"Receiver Name","收件人姓名"
"Receiver Phone","收件人電話"
"Export Buyer Name","購買人姓名",module,Branch8_MarketPlaceOrderExport
"Buyer Phone","購買人電話"
"Export Order Note","訂單備註",module,Branch8_MarketPlaceOrderExport
"Vendor Sku","廠商貨號"
"Origin Sku","主SKU"
"Supplier Sku","廠商貨號(廠商撿貨用)"
"Vendor Share","廠商負擔"
"Platform Share","聯網負擔"
"Main Category","Main Category"

