"All Comment","全部留言"
"Pending Replied (%1)","待回應 (%1)"
"Replied (%1)","已回覆 (%1)"
"Send Reply","送出回覆"
"Cancel","取消"
"Edit Reply","修改回覆"
"More filters","更多篩選"
"Advance Filter","進階篩選",
"Filter comments by product name, SKU, comment date, or reply date.","依照商品名稱、SKU、留言日期或回覆日期篩選留言"
"Product Name","商品名稱"
"commodity","商品"
"Enter product name...","輸入商品名稱..."
"Enter product SKU...","輸入商品 SKU..."
"Date Range of Messages","留言日期範圍"
"Start Date","開始日期"
"End Date","結束日期"
"Reply Date Range","回覆日期範圍"
"Apply filter","套用篩選"
"Clear Filter","清除篩選"
