status,type,category,name,description,short_description,sku,visibility,price,special_price,special_from_date,special_to_date,tax_class_id,is_in_stock,stock,weight,meta_title,meta_keyword,meta_description,images,point_money_config_type,bundle_values,bundle_price_type,bundle_price_view,bundle_sku_type,bundle_weight_type,bundle_shipment_type
1,simple,"Men,Women",Sprite Foam Roller,A roller for training,A roller,bundle-roller,"Catalog, Search",19,18,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,"1.jpg,2.jpg",Only money,,,,,,
1,simple,"Men,Women",Sprite Foam Yoga Brick,A brick for training,A roller,bundle-brick,"Catalog, Search",5,4,2017-05-25,2018-05-27,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,"3.jpg,4.jpg",Only money,,,,,,
1,simple,"Men,Women",Endeavor Daytrip Backpack,A backpack for training gear,A backpack,bundle-backpack1,"Catalog, Search",33,32,2017-05-24,2018-05-26,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,"5.jpg,6.jpg",Only money,,,,,,
1,simple,"Men,Women",Fusion Backpack,A backpack for training gear,A backpack,bundle-backpack2,"Catalog, Search",59,58,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,"1.jpg,6.jpg",Only money,,,,,,
1,simple,"Men,Women","Harmony Lumaflex&trade, Strength Band Kit",A band for training,A band,bundle-band1,"Catalog, Search",22,20,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,,,,,,
1,simple,"Men,Women","Quest Lumaflex&trade, Band",A band for training,A band,bundle-band2,"Catalog, Search",19,18,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,,,,,,
1,simple,"Men,Women","Pursuit Lumaflex&trade, Tone Band",A band for training,A band,bundle-band3,"Catalog, Search",16,15,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,,,,,,
1,simple,"Men,Women",Go-Get'r Pushup Grips,Grips for training,Grips,bundle-grips1,"Catalog, Search",19,18,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,,,,,,
1,simple,"Men,Women",Power Pushup Grips,Grips for training,Grips,bundle-grips2,"Catalog, Search",15,14,2017-05-26,2018-05-28,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,,,,,,
1,bundle,"Men,Women",Training Bundle (Dynamic price enabled),This is a bundle product with enabled dynamic price,Bundle with enabled Dynamic Price,bundle-dynamic-enabled,"Catalog, Search",,,,,Taxable Goods,In Stock,100,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,"name=Pushup grips,type=select,required=1,sku=bundle-grips1,default=0,default_qty=1|name=Pushup grips,type=select,required=1,sku=bundle-grips2,default=0,default_qty=1|name=Tone band,type=radio,required=1,sku=bundle-band1,default=0,default_qty=1|name=Tone band,type=radio,required=1,sku=bundle-band2,default=0,default_qty=1|name=Tone band,type=radio,required=1,sku=bundle-band3,default=0,default_qty=1|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,default=0,default_qty=1|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,default=0,default_qty=1|name=Yoga equipment,type=multiselect,required=1,sku=bundle-brick,default=0,default_qty=1|name=Yoga equipment,type=multiselect,required=1,sku=bundle-roller,default=0,default_qty=1",Dynamic,Price range,Dynamic,Dynamic,together
1,bundle,"Men,Women",Training Bundle (Dynamic price disabled),This is a bundle product with disabled dynamic price,Bundle with disabled Dynamic Price,bundle-dynamic-disabled,"Catalog, Search",123,120,2017-05-26,2018-05-28,Taxable Goods,In Stock,0,1,Test Meta title,Test Meta Keyword,Test Meta Description,,Only money,"name=Pushup grips,type=select,required=1,sku=bundle-grips1,price=10.0000,default=0,default_qty=1,price_type=fixed|name=Pushup grips,type=select,required=1,sku=bundle-grips2,price=10.0000,default=0,default_qty=1,price_type=fixed|name=Tone band,type=radio,required=1,sku=bundle-band1,price=15.0000,default=0,default_qty=1,price_type=percent|name=Tone band,type=radio,required=1,sku=bundle-band2,price=15.0000,default=0,default_qty=1,price_type=percent|name=Tone band,type=radio,required=1,sku=bundle-band3,price=15.0000,default=0,default_qty=1,price_type=percent|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,price=20.0000,default=0,default_qty=1,price_type=fixed|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,price=20.0000,default=0,default_qty=1,price_type=fixed|name=Yoga equipment,type=multiselect,required=1,sku=bundle-brick,price=5.0000,default=0,default_qty=1,price_type=percent|name=Yoga equipment,type=multiselect,required=1,sku=bundle-roller,price=5.0000,default=0,default_qty=1,price_type=percent",Fixed,As low as,Fixed,Fixed,separately
