"string","stringtranslated"
"Choose Return or Exchange","選擇退貨或換貨"
"Choose Return","我要退貨"
"Choose Exchange","我要換貨"
"Yes, Received.","是，已收到商品"
"No, Not Received.", "否，尚未收到商品"
"Have You Received Goods Yet","是否已收到商品"
"Request Return or Refund","退換貨申請"
"Not Specific","皆可"
"Afternoon（12:00-16:00）","下午時段（12:00-16:00）"
"Morning（9:00-12:00）","上午時段（9:00-12:00）"
"Evening（17:00-19:00）","晚上時段（17:00-19:00）"
"All The Time","全時段"
"RMA Delivery Time","退換貨取件時間"
"RMA Address","退換貨取件地址"
"RMA Phone Number","手機號碼"
"RMA Customer Name", "退換貨人姓名"
"Reasons of Return or Exchange","退換貨原因"
"Select Reason","選擇取消原因"
"Please Describe Your Reasons. 20 characters limited.","請描述原因，限20字(非必填)"
"Please Choose Reason.","選擇取消原因"
"No Resolution Selected","請選擇退貨或換貨"
"Apply Rma","送出申請"
"Cancel Apply Rma","再考慮一下"
"Order Received","已收到商品"
"Order Not Received","尚未收到商品"
"applying_return","申請退貨"
"applying_replace","換貨申請"
"processing_return_review","退貨審核中"
"processing_refund","退款處理中"
"returned","退款完成"
"returned_failed","退貨失敗"
"applying_return_fai","退貨失敗"
"processing_replace_review","換貨審核中"
"processing_replace","換貨處理中"
"processing_replace_shipping","配送中"
"processing_replace_arrived","已送達"
"replace_failed","換貨失敗"
"applying_replace_failed","換貨失敗"
"replace_picked","已取貨"
"Authorize Return Application","同意申請退貨"
"Decline Return Application","不同意申請退貨"
"Authorize Return Review","同意退貨審核，申請退款"
"Decline Return Review","不同意退貨"
"applying_return_review_reject","不同意退貨"
"Cancel Return Before Shipping","未出貨取消"
"Not Return Goods But Refund","退款不退貨"
"Retrun Goods and Refund","同意退貨"
"Authorize Replace Application","同意換貨申請"
"Decline Replace Application","換貨失敗"
"Authorize Replace Review","同意換貨"
"Decline Replace Review","不同意換貨"
"applying_replace_review_reject","換貨失敗"
"applying_return_accept","同意退貨申請且派車回收"
"New RMA request generated.","申請退換貨"
"Conversations","對話"
"applying_return_reject","不同意退貨申請"
"applying_return_review_processing","退貨待審核"
"Resolution Type","退換貨類型"
"RMA Details","退換貨基本資料"
"Order Id","訂單編號"
"Rma Status","退換貨狀態"
"RMA Processing Status","退換貨狀態"
"Rma Application Content","退換貨申請"
"Refund Details","退款細節"
"Item(s) Requested for RMA","退換貨商品"
"Change RMA Status","變更退換貨狀態"
"Return","退貨"
"processing_return_cancel_before_shipping","未出貨取消"
"RMA Shipping Details","退換貨收件細節"
"Update Rma Status To %1","更新 Rma 狀態為 %1"
"applying_return_cancel","退貨取消"
"applying_replace_cancel","換貨取消"
"applying_return_review","退貨審核中"
"RMA Shipping Receiver","收件者姓名"
"RMA Shipping Phone","收件者電話"
"processing_return_and_refund","退貨退款"
"Refund Amount","退款金額"
"Product Name","商品名稱"
"Product Price","商品金額"
"Reason","申請原因"
"Additional Info","其他資訊"
"Refundable Amount","可退款金額"
"Send Message","傳送訊息"
"Refundable Point","可退點數"
"RMA Shipping Delivery Time","退換貨取件時間"
"RMA Shipping Address","退換貨取件地址"
"Customer Has Received Goods Or Not","顧客申請時是否已收到商品"
"Replace","換貨"
"applying_replace_review_accept","待出貨"
"applying_replace_review","換貨審核中"
"applying_replace_agree","換貨申請同意"
"Replace Review","換貨審核"
"replace_ship_to_supplier","換貨審核"
"Ready To be Shipped","待出貨"
"Shipping Number","配送單號"
"processing_replace_shipped","配送中"
"applying_replace_reject","不同意換貨申請"
"Shipping Number: ","配送單號為: "
"Ship To Customer","配送至顧客"
"processing_not_return_but_refund","退款不退貨"
"financial_review","退款審核中"
"financial_review_agree","退款同意"
"financial_review_reject","退款不同意"
"Return & Refund","退貨"
"Exchange","換貨"
"applying_return_shipping","派車回收"
"JUMP TO return review processing","跳至退貨審核處理"
"Press the button to skip shipping to customer stage.","可點擊按鈕跳過預設三天配送時間"
"JUMP TO Replace Review","跳到換貨審核處理"
"RMA Decline Reason","拒絕退貨原因"
"RMA Decline Reason Details","拒絕退貨原因細節"
"Replace to Return","換貨變退貨"
"Agree Replace Review","同意換貨審核"
"processing_replace_ready_to_ship","待出貨"
"Replace Again","再次換貨"
"Reject Replace Again","拒絕再次換貨"
"replace_again_reject","不同意再次申請"
"JUMP TO Replace Arrived","跳至已送達"
"Payment Type","退款類型"
"Full Amount","全額退款"
"Partial Amount","部分金額退款"
"Total Refundable Amount","可退總金額"
"Total Refundable Point","預計退點"
"Return to Stock","是否返回庫存"
"applying_return_fail","退貨失敗"
"processing_return_shipping","派車回收"
"processing_return_review","檢驗中"
"processing_refund","退款中"
"returned_failed","退貨失敗"
"returned","已經退款"
"returned_failed","退款失敗"
"replace_cancel","換貨取消"
"applying_replace_fail","換貨失敗"
"processing_replace_ship_to_sup","派車回收"
"processing_replace_review","檢驗中"
"replace_failed","換貨失敗"
"processing_replace_shipping","配送中"
"replaced","已完成"
"replace_to_return","換貨變退貨"
"Choose Rma Items","選擇退換貨商品"
"Refundable Shipping Fee","可退還運費"
"There is no invoice data, please contact admin.","訂單無發票，請與總部確認。"
"return_refund_fail","退款失敗"
"You have a new return request notification","您有新的訂單退貨申請通知信"
"You have a new exchange request notification","您有新的訂單換貨申請通知信"
"Backend-initiated order cancellation/return notification","後台主動取消訂單/退貨信"
"You have exceeded refundable shipping amount.","運費退款金額大過可退款運費金額。"
"The amount you entered cannot exceed the refundable amount. %1","您輸入的金額不可以超過可退款的金額 %1。"
"Invalid refund amount","Invalid refund amount"
"Already in Cancellation Process.","訂單已在取消流程。"
