"File Name","檔案名稱"
"Upload time","上傳時間"
"Updated by","異動帳號名稱"
"Please upload all documents","請上傳所有文件"
"The contract is active, the end date cannot be updated to be less than the current time.","合約處於有效狀態，結束日期不能更新為早於目前時間。"
"The end date cannot be less than the start date.","結束日期不能早於開始日期。"
"The commission rate cannot be less than the minimum commission.","佣金率不得低於最低佣金。"
"End date must be greater than start date","結束日期必須晚於開始日期"
"The commission rate cannot be less than the minimum commission rate.","佣金率不得低於最低佣金率。"
"Default Total Commission %","總抽成百分比"
"Default Verification %","驗證抽成百分比"
"Special Commission %","訂單特別抽成百分比"
"Enable Special Commission","啟用訂單特別抽成"
"Are you sure you want to delete the selected contract?","您確定要刪除選定的合約嗎？"
"Update Default Total Commission and Default Verification fail",""
"Manually Input","手動輸入"
"Default Setting","預設抽成設定"
"Active period","合約有效期間"
"Commission Source","抽成來源"
"Based on Default Settings","預設抽成設定"
"Based on Active Period: %1 to %2","合約有效期間 %1 至 %2"
"Based on Active Period: %s to %s","合約有效期間 %s 至 %s"
"Total Contract Commission Percentage","總抽成百分比"
"Commission Verification Percentage","驗證抽成百分比"
"Applicable Contracts And Quotations File","上傳合約文件"
"Contracts From","合約開始日期"
"Contracts To","合約結束日期"
"Update Existed Product","更新現有商品"
"Total Commission %","總抽成 %"
"Verification %","驗證 %"
"End date must be in the future.","結束日期必須是將來的日期。"
"Cannot update if contract is already in effect","如果合約已經生效，則無法更新"
