"The total probability is incorrect. Current total: %1%. Please adjust to 100%.","總機率是不正確的。目前總額：%1。請調整至100%。"
"Error on add prize point to customer.","獲勝時出現錯誤無法加分"
"Error assigning serial number to customer.","為客戶分配序號時出錯"
"Win the lucky draw event '%1'","贏得抽獎活動'%1'"
"Lucky draw event consolation prize '%1'","抽獎活動安慰獎'%1'"
"Spin Event Name","活動名稱",module,Webkul_SpinToWin
"Spin Start Time","活動開始"
"Spin End Time","活動結束"
"Total Draws","抽獎次數"
"Number of Participants","抽獎人次"
"Points Redeemed","兌點數"
"Point Redemption Report","兌點報表"
"Draw Result Report","抽獎結果報表"
"Manage Spin to Win Campaigns","抽獎活動"
"Spins","抽獎活動",module,Branch8_Spin2Win
"Draw Type","抽獎類型"
"Spins Report","抽獎活動報表"
"Prize Label","獎品名稱"
"Prize Type","獎品類型"
"Prize Qty","數量"
"Prize Remain Qty","剩餘數量"
"Detail Type","連結的促銷規則/球池"
"Prize Probability","機率"
"Prize Stock Reminder","安全庫提醒"
"Prize Safety Stock","安全庫數量"
"Add Segment","新增獎品"
"Prizes","抽獎獎品"
"Consolation","安慰獎"
"Prize Name","獎品名稱"
"Prize Qty","數量"
"Prize Percentage","機率"
"Prize Stock Reminder","安全庫提醒"
"Prize Stock Reminder Qty","安全庫數量"
"Save Segment","新增"
"Lose","未獲獎"
"Coupon","折扣碼"
"Reward points","回饋點數"
"Virtual Item","虛擬商品-球池"
"Physical Item","寄送商品"
"Campaign Name","廣告活動名稱"
"X Points","X點"
"Max. Daily redemption limit","每日最多兌換次數"
"Floating Button","設定是否開啟懸浮紐"
"Low stock alert emails","低庫存警報電子郵件"
"Number of failures","累積數次"
"Prize deleted successfully.","獎品刪除成功。"
"Deleting the prize failed.","刪除獎品失敗。"
"Segment data successfully saved.","獎品資料保存成功。"
"Error updating address","更新地址時發生錯誤"
"Event does not exist.","事件不存在。"
"Please login.","請登入。"
"Invalid request.","無效請求。"
"The spin exchange was not successful, please check your point or contact us to have it checked.","您的點數不足，無法兌換抽獎機會，使用和泰聯名卡消費可獲得高額和泰Points回饋，馬上去賺點數吧 !"
"Add New Campaign","新增活動"
Actions,操作
"A total of %1 campaign have been deleted.","廣告系列“%1”已刪除"
"Spin to Win Details","抽獎活動設定",module,Webkul_SpinToWin
"Spin Campaign Information","抽獎活動資訊",module,Webkul_SpinToWin
"Campaign Name 2","廣告活動名稱(次標題)"
"Campaign Description","活動敘述",
"Scheduled","設定排程"
"X Times","抽獎次數"
"Allow Redeem Point","點數兌換"
"Save Info","儲存"
"Coupon Expiry Date","折價券到期日"
"Coupon Image","折價券圖片"
"Save Consolation","儲存"
"Consolation Information","保底獎品資訊"
"Layout Configuration","版面配置設定"
"Campaign URL","活動網址"
"Pop Up Dialog","彈出式視窗"
