"API endpoint not found.","找不到 API 端點。"
"All Selected","全部選取"
"All options","全部選項"
"An error occurred. Please try again.","發生錯誤，請再試一次。"
"Apply","套用"
"Authentication required. Please login again.","需要驗證。請重新登入。"
"Cancel","取消"
"Check All","全選"
"Choose Options","選擇選項"
"Clear All","清除全部"
"Found %1 options","找到 %1 個選項"
"Invalid request. Please check your input.","無效的請求。請檢查您的輸入。"
"Network error. Please check your connection.","網路錯誤。請檢查您的連線。"
"No results found","找不到結果"
"Search options...","搜尋選項..."
"Search...","搜尋..."
"Select Options","選擇選項"
"Select options...","選擇選項..."
"Selected %1","已選擇 %1 個"
"Selected options","已選擇選項"
"Selected","已選擇"
"Server error. Please try again later.","伺服器錯誤。請稍後再試。"
"Service temporarily unavailable. Please try again later.","服務暫時無法使用。請稍後再試。"
"Success","成功"
"Unselected options","未選擇選項"
"We could not find any records","我們找不到任何紀錄"
"You do not have permission to perform this action.","您沒有權限執行此操作。"
"options","個選項"
"selected","已選擇"
